 y; m; dm; h;G_Gh; Ta;G_Bn; RH; p
2005;1;1;1;0;16.3;0;84;954
2005;1;1;2;0;16.4;0;79;954
2005;1;1;3;0;16.2;0;79;954
2005;1;1;4;0;16.1;0;63;954
2005;1;1;5;0;16;0;50;954
2005;1;1;6;0;16;0;51;954
2005;1;1;7;0;16;0;50;954
2005;1;1;8;0;16;0;48;954
2005;1;1;9;8;16.2;0;48;954
2005;1;1;10;24;16.5;0;47;954
2005;1;1;11;75;17.1;0;42;954
2005;1;1;12;216;18.5;11;38;954
2005;1;1;13;192;19.3;2;37;954
2005;1;1;14;254;20.2;16;34;955
2005;1;1;15;223;20.8;11;33;955
2005;1;1;16;213;21.2;46;33;955
2005;1;1;17;100;20.9;1;44;955
2005;1;1;18;20;20.4;0;57;955
2005;1;1;19;0;19.6;0;73;955
2005;1;1;20;0;19;0;76;956
2005;1;1;21;0;18.3;0;80;956
2005;1;1;22;0;17.6;0;83;956
2005;1;1;23;0;16.9;0;84;956
2005;1;1;24;0;16.1;0;84;956
2005;1;2;1;0;15;0;84;956
2005;1;2;2;0;13.8;0;84;957
2005;1;2;3;0;12.7;0;84;957
2005;1;2;4;0;12;0;84;957
2005;1;2;5;0;11.4;0;84;957
2005;1;2;6;0;11;0;68;957
2005;1;2;7;0;10.5;0;54;957
2005;1;2;8;0;10.4;0;45;957
2005;1;2;9;71;11.4;97;41;958
2005;1;2;10;228;13.2;395;40;958
2005;1;2;11;364;15;394;36;958
2005;1;2;12;285;15.6;65;34;958
2005;1;2;13;394;16.5;168;32;958
2005;1;2;14;347;17;105;31;958
2005;1;2;15;462;17.7;418;31;959
2005;1;2;16;300;17.7;231;32;959
2005;1;2;17;147;17;106;34;959
2005;1;2;18;7;15.8;0;40;960
2005;1;2;19;0;14.8;0;41;960
2005;1;2;20;0;13.9;0;45;960
2005;1;2;21;0;12.9;0;52;960
2005;1;2;22;0;12;0;58;961
2005;1;2;23;0;11.1;0;59;961
2005;1;2;24;0;10.1;0;65;961
2005;1;3;1;0;9.5;0;70;961
2005;1;3;2;0;8.9;0;73;962
2005;1;3;3;0;8.3;0;72;962
2005;1;3;4;0;8;0;75;962
2005;1;3;5;0;7.7;0;76;962
2005;1;3;6;0;7.5;0;75;963
2005;1;3;7;0;7.3;0;85;963
2005;1;3;8;0;7.3;0;85;963
2005;1;3;9;109;9.3;554;75;963
2005;1;3;10;313;12.6;830;62;964
2005;1;3;11;494;15.9;945;42;964
2005;1;3;12;624;18.8;990;33;964
2005;1;3;13;689;21.2;1006;28;964
2005;1;3;14;679;22.8;1002;26;964
2005;1;3;15;605;23.7;983;24;964
2005;1;3;16;464;23.8;929;22;964
2005;1;3;17;276;22.8;798;23;964
2005;1;3;18;78;20.8;460;28;964
