 y; m; dm; h;G_Gh; Ta;G_Bn; RH; p
2005;1;1;1;0;9.5;0;65;906
2005;1;1;2;0;9;0;67;906
2005;1;1;3;0;8.5;0;67;906
2005;1;1;4;0;8.2;0;67;906
2005;1;1;5;0;8;0;67;906
2005;1;1;6;0;7.8;0;68;906
2005;1;1;7;0;7.6;0;68;906
2005;1;1;8;0;7.6;0;66;906
2005;1;1;9;72;8.6;212;64;906
2005;1;1;10;182;10;183;60;906
2005;1;1;11;270;11.4;165;52;906
2005;1;1;12;354;12.7;324;49;906
2005;1;1;13;375;13.6;201;47;906
2005;1;1;14;368;14.3;348;45;906
2005;1;1;15;296;14.5;198;45;906
2005;1;1;16;199;14.2;190;48;906
2005;1;1;17;89;13.5;216;52;906
2005;1;1;18;1;12.5;0;55;906
2005;1;1;19;0;11.9;0;56;905
2005;1;1;20;0;11.3;0;59;905
2005;1;1;21;0;10.8;0;60;905
2005;1;1;22;0;10.2;0;60;905
2005;1;1;23;0;9.6;0;57;905
2005;1;1;24;0;9;0;61;905
2005;1;2;1;0;8.5;0;78;905
2005;1;2;2;0;7.9;0;86;905
2005;1;2;3;0;7.4;0;86;905
2005;1;2;4;0;7.1;0;86;905
2005;1;2;5;0;6.8;0;86;905
2005;1;2;6;0;6.6;0;86;905
2005;1;2;7;0;6.4;0;86;905
2005;1;2;8;0;6.4;0;86;905
2005;1;2;9;64;7.2;86;82;905
2005;1;2;10;176;8.6;135;65;905
2005;1;2;11;270;9.9;163;61;905
2005;1;2;12;298;10.8;115;60;904
2005;1;2;13;334;11.6;129;58;904
2005;1;2;14;310;12;117;56;904
2005;1;2;15;286;12.3;181;59;904
2005;1;2;16;187;12.1;148;60;904
2005;1;2;17;78;11.4;79;64;904
2005;1;2;18;1;10.5;0;70;904
2005;1;2;19;0;10.1;0;67;904
2005;1;2;20;0;9.7;0;70;905
2005;1;2;21;0;9.3;0;77;905
2005;1;2;22;0;8.9;0;82;905
2005;1;2;23;0;8.5;0;81;905
2005;1;2;24;0;8.1;0;86;905
2005;1;3;1;0;7.8;0;88;905
2005;1;3;2;0;7.6;0;90;905
2005;1;3;3;0;7.3;0;87;905
2005;1;3;4;0;7.2;0;89;905
2005;1;3;5;0;7.1;0;90;905
2005;1;3;6;0;7;0;91;905
2005;1;3;7;0;6.9;0;98;905
2005;1;3;8;0;7;0;98;905
2005;1;3;9;66;8.1;139;92;905
2005;1;3;10;142;9.3;76;86;905
2005;1;3;11;204;10.4;51;76;905
2005;1;3;12;363;12.1;288;69;905
2005;1;3;13;290;12.9;91;66;905
2005;1;3;14;296;13.4;102;66;905
2005;1;3;15;277;13.8;157;63;905
2005;1;3;16;219;13.9;285;59;905
2005;1;3;17;154;13.6;391;60;905
2005;1;3;18;4;12.6;0;64;905
2005;1;3;19;0;11.9;0;69;905
2005;1;3;20;0;11.3;0;69;905
2005;1;3;21;0;10.6;0;73;905
2005;1;3;22;0;10;0;76;905
2005;1;3;23;0;9.3;0;79;905
2005;1;3;24;0;8.7;0;81;905
2005;1;4;1;0;8;0;79;905
2005;1;4;2;0;7.3;0;80;905
2005;1;4;3;0;6.5;0;79;905
2005;1;4;4;0;6.1;0;81;905
2005;1;4;5;0;5.7;0;84;905
2005;1;4;6;0;5.5;0;83;905
2005;1;4;7;0;5.2;0;83;905
2005;1;4;8;0;5.1;0;82;905
2005;1;4;9;63;6;81;81;905
2005;1;4;10;178;7.3;170;79;905
2005;1;4;11;282;8.6;189;75;905
2005;1;4;12;355;9.8;206;70;905
2005;1;4;13;388;10.7;322;68;905
2005;1;4;14;368;11.3;316;68;905
2005;1;4;15;294;11.5;182;66;905
2005;1;4;16;218;11.3;345;67;905
2005;1;4;17;95;10.6;205;66;904
2005;1;4;18;1;9.6;0;75;904
2005;1;4;19;0;9.1;0;82;904
2005;1;4;20;0;8.6;0;83;904
2005;1;4;21;0;8.1;0;87;904
2005;1;4;22;0;7.6;0;88;904
2005;1;4;23;0;7.1;0;89;904
2005;1;4;24;0;6.6;0;95;903
2005;1;5;1;0;6.3;0;86;903
2005;1;5;2;0;6;0;85;903
2005;1;5;3;0;5.7;0;87;903
2005;1;5;4;0;5.6;0;87;903
2005;1;5;5;0;5.4;0;88;903
2005;1;5;6;0;5.3;0;96;902
2005;1;5;7;0;5.2;0;92;902
2005;1;5;8;0;5.2;0;90;902
2005;1;5;9;42;5.9;0;88;902
2005;1;5;10;119;6.8;13;83;902
2005;1;5;11;203;7.9;37;79;902
2005;1;5;12;233;8.8;27;76;901
2005;1;5;13;242;9.4;23;70;901
2005;1;5;14;243;9.8;29;71;901
2005;1;5;15;196;9.9;23;68;901
2005;1;5;16;126;9.8;9;69;901
2005;1;5;17;53;9.2;0;82;901
2005;1;5;18;1;8.6;0;82;901
2005;1;5;19;0;8.2;0;82;901
2005;1;5;20;0;7.8;0;82;901
2005;1;5;21;0;7.3;0;82;902
2005;1;5;22;0;6.8;0;86;902
2005;1;5;23;0;6.5;0;82;902
2005;1;5;24;0;5.6;0;86;902
2005;1;6;1;0;5.8;0;86;902
2005;1;6;2;0;5.4;0;82;902
2005;1;6;3;0;4.9;0;82;902
2005;1;6;4;0;4.5;0;86;902
2005;1;6;5;0;4.6;0;86;902
2005;1;6;6;0;4.4;0;86;902
2005;1;6;7;0;4.3;0;86;902
2005;1;6;8;0;4.3;0;86;902
2005;1;6;9;52;5.1;28;86;902
2005;1;6;10;145;6.2;59;82;902
2005;1;6;11;217;7.3;65;82;902
2005;1;6;12;248;8.1;36;82;902
2005;1;6;13;281;8.8;60;64;902
2005;1;6;14;262;9.2;40;58;902
2005;1;6;15;245;9.5;91;56;903
2005;1;6;16;155;9.3;54;54;903
2005;1;6;17;61;8.7;6;56;903
2005;1;6;18;1;8;0;55;904
2005;1;6;19;0;7.5;0;58;904
2005;1;6;20;0;7;0;60;904
2005;1;6;21;0;6.4;0;63;905
2005;1;6;22;0;5.9;0;65;905
2005;1;6;23;0;5.4;0;64;905
2005;1;6;24;0;4.9;0;64;906
2005;1;7;1;0;4.4;0;67;906
2005;1;7;2;0;3.9;0;71;906
2005;1;7;3;0;3.4;0;73;907
2005;1;7;4;0;3.1;0;71;907
2005;1;7;5;0;2.9;0;75;908
2005;1;7;6;0;2.7;0;76;908
2005;1;7;7;0;2.5;0;79;908
2005;1;7;8;0;2.5;0;80;909
2005;1;7;9;109;4.2;592;76;909
2005;1;7;10;290;6.6;809;69;909
2005;1;7;11;444;9;917;59;910
2005;1;7;12;546;11.1;967;53;910
2005;1;7;13;587;12.7;981;51;910
2005;1;7;14;562;13.8;972;45;910
2005;1;7;15;472;14.2;934;45;910
2005;1;7;16;328;13.9;840;45;909
2005;1;7;17;151;12.7;656;50;909
2005;1;7;18;3;11;0;60;908
2005;1;7;19;0;10.4;0;73;908
2005;1;7;20;0;9.8;0;74;907
2005;1;7;21;0;9.2;0;75;907
2005;1;7;22;0;8.5;0;78;907
2005;1;7;23;0;7.9;0;80;906
2005;1;7;24;0;7.3;0;83;906
2005;1;8;1;0;6.7;0;79;905
2005;1;8;2;0;6.1;0;82;905
2005;1;8;3;0;5.4;0;84;905
2005;1;8;4;0;5.1;0;84;904
2005;1;8;5;0;3.8;0;98;904
2005;1;8;6;0;4.6;0;98;903
2005;1;8;7;0;4.3;0;98;903
2005;1;8;8;0;4.3;0;98;903
2005;1;8;9;22;4.5;0;97;902
2005;1;8;10;59;4.8;0;96;902
2005;1;8;11;66;4.9;0;98;901
2005;1;8;12;61;5.3;0;94;901
2005;1;8;13;48;5.2;0;95;901
2005;1;8;14;419;6.7;401;93;901
2005;1;8;15;369;7.6;558;81;901
2005;1;8;16;264;7.9;564;78;900
2005;1;8;17;114;7.8;359;78;900
2005;1;8;18;2;7.2;0;80;900
2005;1;8;19;0;6.7;0;78;900
2005;1;8;20;0;6.3;0;78;900
2005;1;8;21;0;5.8;0;81;900
2005;1;8;22;0;5.4;0;85;900
2005;1;8;23;0;4.9;0;89;900
2005;1;8;24;0;4.5;0;90;900
2005;1;9;1;0;4.2;0;100;900
2005;1;9;2;0;3.8;0;99;900
