 y; m; dm; h;G_Gh; Ta;G_Bn; RH; p
2005;1;1;1;0;7.6;0;87;1000
2005;1;1;2;0;7.4;0;87;1000
2005;1;1;3;0;7.3;0;86;1000
2005;1;1;4;0;7.2;0;90;1000
2005;1;1;5;0;7.1;0;89;1000
2005;1;1;6;0;7.1;0;90;1000
2005;1;1;7;0;7;0;87;1000
2005;1;1;8;0;7;0;90;1000
2005;1;1;9;11;7.5;0;90;1000
2005;1;1;10;173;10.7;379;75;1000
2005;1;1;11;330;13.7;791;70;1000
2005;1;1;12;453;16.5;876;51;1000
2005;1;1;13;531;18.7;932;45;1000
2005;1;1;14;533;20.3;923;40;1000
2005;1;1;15;472;21.1;885;39;1000
2005;1;1;16;358;21.1;790;38;1000
2005;1;1;17;203;20.1;415;42;1000
2005;1;1;18;23;18;0;46;1000
2005;1;1;19;0;17.2;0;56;1000
2005;1;1;20;0;16.3;0;60;1000
2005;1;1;21;0;15.4;0;65;1000
2005;1;1;22;0;14.6;0;71;1000
2005;1;1;23;0;13.7;0;74;1000
2005;1;1;24;0;12.8;0;75;1000
2005;1;2;1;0;11.8;0;77;1000
2005;1;2;2;0;10.6;0;84;1000
2005;1;2;3;0;9.4;0;86;1001
2005;1;2;4;0;8.8;0;91;1001
2005;1;2;5;0;8.1;0;93;1001
2005;1;2;6;0;7.5;0;97;1001
2005;1;2;7;0;7;0;100;1001
2005;1;2;8;0;6.6;0;99;1001
2005;1;2;9;12;6.8;0;95;1001
2005;1;2;10;184;9.5;405;82;1001
2005;1;2;11;354;12.2;858;74;1001
2005;1;2;12;482;14.5;937;58;1001
2005;1;2;13;551;16.2;962;55;1001
2005;1;2;14;557;17.4;963;52;1001
2005;1;2;15;499;18;941;50;1000
2005;1;2;16;382;17.9;873;47;1000
2005;1;2;17;222;16.8;446;52;1000
2005;1;2;18;30;14.9;0;56;1000
2005;1;2;19;0;14.1;0;66;1000
2005;1;2;20;0;13.3;0;69;1000
2005;1;2;21;0;12.5;0;71;999
2005;1;2;22;0;11.7;0;76;999
2005;1;2;23;0;10.9;0;80;999
2005;1;2;24;0;10.1;0;81;999
2005;1;3;1;0;9.7;0;85;999
2005;1;3;2;0;9.3;0;90;999
2005;1;3;3;0;8.9;0;90;998
2005;1;3;4;0;8.7;0;89;998
2005;1;3;5;0;8.6;0;87;998
2005;1;3;6;0;8.4;0;86;998
2005;1;3;7;0;8.3;0;88;998
2005;1;3;8;0;8.2;0;90;997
2005;1;3;9;13;8.6;0;86;997
2005;1;3;10;124;10.5;184;76;997
2005;1;3;11;243;12.5;309;68;997
2005;1;3;12;371;14.6;434;63;997
2005;1;3;13;475;16.6;667;56;997
2005;1;3;14;448;17.8;498;51;997
2005;1;3;15;306;17.9;171;51;997
2005;1;3;16;214;17.5;93;47;997
2005;1;3;17;107;16.4;46;51;997
2005;1;3;18;6;15;0;58;997
2005;1;3;19;0;14.3;0;60;997
2005;1;3;20;0;13.6;0;64;997
2005;1;3;21;0;12.9;0;67;998
2005;1;3;22;0;12.2;0;72;998
2005;1;3;23;0;11.5;0;74;998
2005;1;3;24;0;10.8;0;75;998
2005;1;4;1;0;10;0;81;998
2005;1;4;2;0;9.2;0;83;998
2005;1;4;3;0;8.3;0;86;998
2005;1;4;4;0;7.8;0;85;998
2005;1;4;5;0;7.4;0;87;998
2005;1;4;6;0;6.9;0;84;999
2005;1;4;7;0;6.6;0;85;999
2005;1;4;8;0;6.3;0;87;999
2005;1;4;9;9;6.5;0;85;999
2005;1;4;10;152;8.9;293;72;999
2005;1;4;11;317;11.4;720;65;999
2005;1;4;12;434;13.7;789;52;999
2005;1;4;13;499;15.5;814;47;999
2005;1;4;14;494;16.6;762;47;999
2005;1;4;15;450;17.2;767;48;999
2005;1;4;16;343;17.1;692;48;999
2005;1;4;17;203;16.2;412;49;999
2005;1;4;18;28;14.5;0;55;999
2005;1;4;19;0;13.7;0;64;999
2005;1;4;20;0;12.9;0;66;999
2005;1;4;21;0;12.1;0;68;998
2005;1;4;22;0;11.3;0;69;998
2005;1;4;23;0;10.5;0;74;998
2005;1;4;24;0;9.7;0;75;998
2005;1;5;1;0;9.2;0;74;998
2005;1;5;2;0;8.6;0;75;998
2005;1;5;3;0;8;0;74;998
2005;1;5;4;0;7.6;0;75;998
2005;1;5;5;0;7.3;0;76;998
2005;1;5;6;0;7;0;79;997
2005;1;5;7;0;6.8;0;82;997
2005;1;5;8;0;6.5;0;86;997
2005;1;5;9;4;6.6;0;85;997
2005;1;5;10;193;9.9;422;75;997
2005;1;5;11;297;12.2;493;66;997
2005;1;5;12;327;13.6;278;61;997
2005;1;5;13;280;14.1;80;62;997
2005;1;5;14;388;15;294;59;997
2005;1;5;15;352;15.5;300;61;997
2005;1;5;16;193;14.9;73;61;997
2005;1;5;17;246;14.8;480;61;996
2005;1;5;18;66;13.7;40;61;996
2005;1;5;19;0;12.9;0;64;996
2005;1;5;20;0;12.2;0;68;996
2005;1;5;21;0;11.5;0;71;996
2005;1;5;22;0;10.8;0;77;996
2005;1;5;23;0;10.1;0;83;996
2005;1;5;24;0;9.3;0;88;996
2005;1;6;1;0;8.8;0;90;996
