 y; m; dm; h;G_Gh; Ta;G_Bn; RH; p
2005;1;1;1;0;11.3;0;89;1012
2005;1;1;2;0;11.1;0;89;1012
2005;1;1;3;0;11;0;87;1012
2005;1;1;4;0;10.9;0;91;1012
2005;1;1;5;0;10.9;0;91;1012
2005;1;1;6;0;10.8;0;93;1012
2005;1;1;7;0;10.8;0;90;1012
2005;1;1;8;0;10.8;0;91;1012
2005;1;1;9;26;12;0;88;1012
2005;1;1;10;197;15.7;406;67;1012
2005;1;1;11;319;18.7;605;60;1012
2005;1;1;12;440;21.4;749;48;1012
2005;1;1;13;466;23.4;717;44;1012
2005;1;1;14;442;24.5;558;40;1012
2005;1;1;15;318;23.5;332;43;1011
2005;1;1;16;230;23.9;294;41;1011
2005;1;1;17;118;22.5;212;46;1011
2005;1;1;18;2;20.6;0;49;1011
2005;1;1;19;0;19.9;0;59;1011
2005;1;1;20;0;19.1;0;62;1010
2005;1;1;21;0;18.4;0;66;1010
2005;1;1;22;0;17.7;0;71;1010
2005;1;1;23;0;16.9;0;73;1010
2005;1;1;24;0;16.2;0;74;1010
2005;1;2;1;0;15.2;0;75;1009
2005;1;2;2;0;14.1;0;81;1009
2005;1;2;3;0;12.9;0;83;1009
2005;1;2;4;0;12.3;0;87;1009
2005;1;2;5;0;11.7;0;88;1009
2005;1;2;6;0;11.1;0;92;1008
2005;1;2;7;0;10.6;0;94;1008
2005;1;2;8;0;10.2;0;91;1008
2005;1;2;9;15;10.5;0;88;1008
2005;1;2;10;99;11.6;25;80;1008
2005;1;2;11;175;12.7;38;78;1007
2005;1;2;12;240;13.7;58;72;1007
2005;1;2;13;282;14.5;74;73;1007
2005;1;2;14;268;14.9;64;73;1007
2005;1;2;15;205;14.9;26;72;1007
2005;1;2;16;142;14.5;14;69;1007
2005;1;2;17;66;13.8;0;73;1008
2005;1;2;18;2;12.8;0;73;1008
2005;1;2;19;0;12.1;0;77;1008
2005;1;2;20;0;11.4;0;80;1008
2005;1;2;21;0;10.7;0;81;1008
2005;1;2;22;0;10;0;85;1008
2005;1;2;23;0;9.3;0;88;1009
2005;1;2;24;0;8.6;0;89;1009
2005;1;3;1;0;8.3;0;90;1009
2005;1;3;2;0;8.1;0;94;1009
2005;1;3;3;0;7.9;0;93;1009
2005;1;3;4;0;7.8;0;91;1009
2005;1;3;5;0;7.7;0;89;1009
2005;1;3;6;0;7.6;0;89;1010
2005;1;3;7;0;7.6;0;89;1010
2005;1;3;8;0;7.5;0;90;1010
2005;1;3;9;10;8;0;88;1010
2005;1;3;10;78;9.5;0;79;1010
2005;1;3;11;316;13.5;465;66;1010
2005;1;3;12;411;16.6;657;59;1011
2005;1;3;13;455;18.8;574;51;1011
