 y; m; dm; h;G_Gh; Ta;G_Bn; RH; p
2005;1;1;1;0;9.9;0;92;899
2005;1;1;2;0;11.5;0;83;899
2005;1;1;3;0;11.2;0;87;899
2005;1;1;4;0;11.2;0;83;899
2005;1;1;5;0;11.1;0;83;899
2005;1;1;6;0;11.1;0;74;899
2005;1;1;7;0;10.9;0;83;899
2005;1;1;8;0;10.9;0;81;899
2005;1;1;9;5;11;0;80;899
2005;1;1;10;49;11.6;0;83;899
2005;1;1;11;85;12;0;83;899
2005;1;1;12;113;12.5;0;83;899
2005;1;1;13;129;12.9;0;74;899
2005;1;1;14;127;13;0;83;899
2005;1;1;15;112;13.1;0;83;899
2005;1;1;16;83;13;0;83;899
2005;1;1;17;46;12.6;0;87;899
2005;1;1;18;4;11.9;0;90;900
2005;1;1;19;0;10.9;0;91;900
2005;1;1;20;0;11.4;0;87;900
2005;1;1;21;0;10.5;0;87;900
2005;1;1;22;0;10.5;0;87;900
2005;1;1;23;0;10.3;0;87;900
2005;1;1;24;0;10.2;0;87;901
2005;1;2;1;0;9.7;0;94;901
2005;1;2;2;0;9.2;0;96;901
2005;1;2;3;0;8.7;0;98;901
2005;1;2;4;0;8.5;0;98;901
2005;1;2;5;0;8.2;0;98;901
2005;1;2;6;0;8;0;98;902
2005;1;2;7;0;7.8;0;98;902
2005;1;2;8;0;7.6;0;98;902
2005;1;2;9;17;8.1;0;98;902
2005;1;2;10;115;9.3;88;89;902
2005;1;2;11;203;10.5;78;86;902
2005;1;2;12;285;11.6;107;77;902
2005;1;2;13;344;12.6;141;72;903
2005;1;2;14;326;13.1;124;67;903
2005;1;2;15;242;13.2;59;62;903
2005;1;2;16;172;12.9;30;61;904
2005;1;2;17;87;12.3;19;61;904
2005;1;2;18;4;11.4;0;64;904
2005;1;2;19;0;10.9;0;64;905
2005;1;2;20;0;10.3;0;66;905
2005;1;2;21;0;9.7;0;71;905
2005;1;2;22;0;9.1;0;70;906
2005;1;2;23;0;8.6;0;72;906
2005;1;2;24;0;8;0;72;906
2005;1;3;1;0;7.5;0;73;907
2005;1;3;2;0;6.9;0;78;907
2005;1;3;3;0;6.4;0;80;907
2005;1;3;4;0;6.1;0;82;908
2005;1;3;5;0;5.8;0;85;908
2005;1;3;6;0;5.4;0;85;908
2005;1;3;7;0;5.2;0;82;909
2005;1;3;8;0;5;0;82;909
2005;1;3;9;25;5.8;0;80;909
2005;1;3;10;229;9.2;458;69;910
2005;1;3;11;401;12.3;889;61;910
2005;1;3;12;525;14.9;959;47;910
2005;1;3;13;589;16.9;982;41;910
2005;1;3;14;586;18.2;981;39;910
2005;1;3;15;519;18.7;957;37;910
2005;1;3;16;392;18.5;883;36;910
2005;1;3;17;220;17.2;448;39;910
2005;1;3;18;20;15;0;44;910
2005;1;3;19;0;13.9;0;55;910
2005;1;3;20;0;12.8;0;58;909
2005;1;3;21;0;11.7;0;57;909
2005;1;3;22;0;10.5;0;61;909
2005;1;3;23;0;9.4;0;66;909
2005;1;3;24;0;8.3;0;72;909
2005;1;4;1;0;7.4;0;77;909
2005;1;4;2;0;6.5;0;84;908
2005;1;4;3;0;5.5;0;93;908
2005;1;4;4;0;5;0;90;908
2005;1;4;5;0;4.5;0;94;908
2005;1;4;6;0;4;0;97;908
2005;1;4;7;0;3.6;0;95;908
2005;1;4;8;0;3.3;0;98;907
2005;1;4;9;22;3.7;0;98;907
2005;1;4;10;186;5.8;379;83;907
2005;1;4;11;339;7.8;730;77;907
2005;1;4;12;430;9.4;692;64;907
2005;1;4;13;491;10.6;744;60;907
2005;1;4;14;501;11.5;790;54;907
2005;1;4;15;441;11.8;759;55;906
2005;1;4;16;357;11.8;772;54;906
2005;1;4;17;191;10.9;408;54;906
2005;1;4;18;18;9.4;0;60;906
2005;1;4;19;0;8.7;0;70;906
2005;1;4;20;0;7.9;0;71;906
2005;1;4;21;0;7.2;0;73;906
2005;1;4;22;0;6.4;0;78;906
2005;1;4;23;0;5.7;0;79;906
2005;1;4;24;0;4.9;0;82;906
2005;1;5;1;0;4.5;0;86;905
2005;1;5;2;0;4;0;91;905
2005;1;5;3;0;3.6;0;91;905
2005;1;5;4;0;3.3;0;86;905
2005;1;5;5;0;3.1;0;87;905
2005;1;5;6;0;2.8;0;86;905
2005;1;5;7;0;2.7;0;83;905
2005;1;5;8;0;2.5;0;89;905
2005;1;5;9;17;3;0;88;905
2005;1;5;10;141;4.8;212;79;904
2005;1;5;11;245;6.3;163;72;904
2005;1;5;12;332;7.7;198;63;904
2005;1;5;13;424;9.1;399;60;904
2005;1;5;14;482;10.3;653;52;904
2005;1;5;15;433;10.9;671;50;904
2005;1;5;16;276;10.8;352;52;903
2005;1;5;17;139;9.9;211;55;903
2005;1;5;18;4;8.6;0;65;903
2005;1;5;19;0;8.2;0;73;903
2005;1;5;20;0;7.8;0;69;902
2005;1;5;21;0;7.3;0;71;902
2005;1;5;22;0;6.9;0;70;902
2005;1;5;23;0;6.5;0;74;902
2005;1;5;24;0;6.1;0;76;901
2005;1;6;1;0;5.8;0;76;901
2005;1;6;2;0;5.4;0;82;901
2005;1;6;3;0;5;0;83;901
2005;1;6;4;0;4.9;0;82;900
2005;1;6;5;0;4.7;0;82;900
2005;1;6;6;0;4.5;0;96;900
2005;1;6;7;0;4.3;0;97;900
2005;1;6;8;0;4.2;0;97;899
2005;1;6;9;5;4.3;0;98;899
2005;1;6;10;78;5.2;0;91;899
2005;1;6;11;126;6;0;86;899
2005;1;6;12;159;6.5;1;80;898
2005;1;6;13;172;6.9;1;76;898
2005;1;6;14;185;7.2;4;73;898
2005;1;6;15;173;7.4;6;77;899
2005;1;6;16;132;7.4;1;76;899
2005;1;6;17;61;6.9;0;83;899
2005;1;6;18;6;6.3;0;87;900
2005;1;6;19;0;5.3;0;87;900
2005;1;6;20;0;5.5;0;87;900
2005;1;6;21;0;5;0;87;901
2005;1;6;22;0;4.5;0;87;901
2005;1;6;23;0;4;0;87;901
2005;1;6;24;0;3.5;0;87;902
2005;1;7;1;0;3;0;87;902
2005;1;7;2;0;2.5;0;87;902
2005;1;7;3;0;2.1;0;87;903
2005;1;7;4;0;1.8;0;87;903
2005;1;7;5;0;1.6;0;87;903
2005;1;7;6;0;1.3;0;78;904
2005;1;7;7;0;1.1;0;82;904
2005;1;7;8;0;1;0;86;904
2005;1;7;9;20;1.5;0;85;905
2005;1;7;10;205;4.3;437;75;905
2005;1;7;11;348;6.6;764;67;905
2005;1;7;12;447;8.5;755;56;906
